UserId;Datum;Arbeitsbeginn;Pause_min;Mittag_beginn;Mittag_ende;Arbeitsende;Kommentar
1;01.04.2026;08:00;15;12:00;12:30;17:00;
1;02.04.2026;08:15;15;12:15;12:45;17:15;
1;03.04.2026;08:00;15;12:00;12:30;16:30;Früher Feierabend
1;06.04.2026;08:00;15;12:00;12:30;17:00;
1;07.04.2026;07:45;15;12:00;12:30;17:15;Überzeit
1;08.04.2026;08:00;15;12:00;12:30;17:00;
1;09.04.2026;08:30;15;12:00;12:30;17:00;Verspäteter Start
1;10.04.2026;08:00;15;12:00;12:30;16:45;
1;13.04.2026;08:00;15;12:00;12:30;17:00;
1;14.04.2026;08:00;15;12:00;12:30;17:00;
1;15.04.2026;07:30;15;12:00;12:30;17:00;Früh begonnen
1;16.04.2026;08:00;30;12:00;12:30;16:30;
1;17.04.2026;08:15;15;12:15;12:45;17:15;
1;20.04.2026;08:00;15;12:00;12:30;17:00;
1;21.04.2026;08:00;15;12:00;12:30;17:00;
1;22.04.2026;07:45;15;12:00;12:30;17:15;Überzeit
1;23.04.2026;08:00;15;12:00;12:30;17:00;
1;24.04.2026;08:30;15;12:00;12:30;16:30;Arzttermin
1;27.04.2026;08:00;15;12:00;12:30;17:00;
1;28.04.2026;08:00;15;12:00;12:30;17:00;
1;29.04.2026;08:15;15;12:15;12:45;17:15;
1;30.04.2026;08:00;15;12:00;12:30;16:45;
